frequency_hz,output_v,normalized_db,analytical_db
10,0.5,1.38863155184e-13,0
10.5925372518,0.5,-3.85730986621e-14,0
11.220184543,0.5,1.15719295986e-14,0
11.8850222744,0.5,-2.44939176505e-13,0
12.5892541179,0.5,1.25362570652e-13,0
13.3352143216,0.5,-4.24304085283e-14,0
14.1253754462,0.5,-6.65385951922e-14,0
14.9623565609,0.5,-1.82257891179e-13,0
15.8489319246,0.5,8.67894719898e-14,0
16.7880401812,0.5,3.4137192316e-13,0
17.7827941004,0.5,4.24304085283e-14,0
18.8364908949,0.5,-3.19192391429e-13,0
19.9526231497,0.5,-7.81105247908e-14,0
21.1348903984,0.5,-2.41081866638e-14,0
22.3872113857,0.5,2.21795317307e-13,0
23.7137370566,0.5,-1.13790641053e-13,0
25.1188643151,0.5,4.82163733277e-14,0
26.607250598,0.5,9.0646781856e-14,0
28.1838293126,0.5,-1.21505260786e-13,0
29.8538261892,0.5,-4.5323390928e-14,-1.92865493311e-15
31.6227766017,0.5,-8.67894719898e-15,-3.85730986621e-15
33.4965439158,0.5,4.05017535952e-14,-7.71461973243e-15
35.4813389234,0.5,-2.02508767976e-13,-1.35005845317e-14
37.5837404288,0.5,1.15719295986e-14,-2.31438591973e-14
39.8107170553,0.5,-9.16111093226e-14,-4.24304085283e-14
42.1696503429,0.5,-3.37514613294e-14,-7.71461973243e-14
44.6683592151,0.5,-5.49666655935e-14,-1.36934500251e-13
47.3151258961,0.5,-3.48122215426e-13,-2.43010521571e-13
50.1187233627,0.5,-3.33657303427e-13,-4.33947359949e-13
53.0884444231,0.5,-7.29031564714e-13,-7.71461973243e-13
56.234132519,0.5,-1.39056020677e-12,-1.37320231237e-12
59.5662143529,0.5,-2.56993269836e-12,-2.44167714531e-12
63.095734448,0.5,-4.27679231416e-12,-4.34333090936e-12
66.8343917569,0.5,-7.73679926416e-12,-7.72233435216e-12
70.7945784384,0.499999999999,-1.37117722469e-11,-1.37339517787e-11
